date,store,category,qty,price,revenue
2024-01-01,S1,A,40,20.0,800.0
2024-01-01,S1,B,25,35.0,875.0
2024-01-01,S1,C,60,12.0,720.0
2024-01-01,S2,A,43,20.0,860.0
2024-01-01,S2,B,18,35.0,630.0
2024-01-01,S2,C,59,12.0,708.0
2024-01-01,S3,A,37,20.0,740.0
2024-01-01,S3,B,16,35.0,560.0
2024-01-01,S3,C,68,12.0,816.0
2024-01-01,S4,A,37,20.0,740.0
2024-01-01,S4,B,22,35.0,770.0
2024-01-01,S4,C,65,12.0,780.0
2024-01-01,S5,A,41,20.0,820.0
2024-01-01,S5,B,19,35.0,665.0
2024-01-01,S5,C,74,12.0,888.0
2024-01-02,S1,A,30,20.0,600.0
2024-01-02,S1,B,19,35.0,665.0
2024-01-02,S1,C,63,12.0,756.0
2024-01-02,S2,A,25,20.0,500.0
2024-01-02,S2,B,19,35.0,665.0
2024-01-02,S2,C,57,12.0,684.0
2024-01-02,S3,A,22,20.0,440.0
2024-01-02,S3,B,16,35.0,560.0
2024-01-02,S3,C,68,12.0,816.0
2024-01-02,S4,A,36,20.0,720.0
2024-01-02,S4,B,21,35.0,735.0
2024-01-02,S4,C,58,12.0,696.0
2024-01-02,S5,A,32,20.0,640.0
2024-01-02,S5,B,31,35.0,1085.0
2024-01-02,S5,C,64,12.0,768.0
2024-01-03,S1,A,43,20.0,860.0
2024-01-03,S1,B,14,35.0,490.0
2024-01-03,S1,C,78,12.0,936.0
2024-01-03,S2,A,36,20.0,720.0
2024-01-03,S2,B,20,35.0,700.0
2024-01-03,S2,C,73,12.0,876.0
2024-01-03,S3,A,36,20.0,720.0
2024-01-03,S3,B,18,35.0,630.0
2024-01-03,S3,C,61,12.0,732.0
2024-01-03,S4,A,32,20.0,640.0
2024-01-03,S4,B,18,35.0,630.0
2024-01-03,S4,C,72,12.0,864.0
2024-01-03,S5,A,37,20.0,740.0
2024-01-03,S5,B,17,35.0,595.0
2024-01-03,S5,C,70,12.0,840.0
2024-01-04,S1,A,38,20.0,760.0
2024-01-04,S1,B,26,35.0,910.0
2024-01-04,S1,C,76,12.0,912.0
2024-01-04,S2,A,34,20.0,680.0
2024-01-04,S2,B,17,35.0,595.0
2024-01-04,S2,C,88,12.0,1056.0
2024-01-04,S3,A,37,20.0,740.0
2024-01-04,S3,B,33,35.0,1155.0
2024-01-04,S3,C,70,12.0,840.0
2024-01-04,S4,A,45,20.0,900.0
2024-01-04,S4,B,21,35.0,735.0
2024-01-04,S4,C,68,12.0,816.0
2024-01-04,S5,A,28,20.0,560.0
2024-01-04,S5,B,18,35.0,630.0
2024-01-04,S5,C,74,12.0,888.0
2024-01-05,S1,A,41,20.0,820.0
2024-01-05,S1,B,20,35.0,700.0
2024-01-05,S1,C,88,12.0,1056.0
2024-01-05,S2,A,47,20.0,940.0
2024-01-05,S2,B,26,35.0,910.0
2024-01-05,S2,C,77,12.0,924.0
2024-01-05,S3,A,47,20.0,940.0
2024-01-05,S3,B,15,35.0,525.0
2024-01-05,S3,C,85,12.0,1020.0
2024-01-05,S4,A,49,20.0,980.0
2024-01-05,S4,B,31,35.0,1085.0
2024-01-05,S4,C,93,12.0,1116.0
2024-01-05,S5,A,24,20.0,480.0
2024-01-05,S5,B,21,35.0,735.0
2024-01-05,S5,C,69,12.0,828.0
2024-01-06,S1,A,38,20.0,760.0
2024-01-06,S1,B,35,35.0,1225.0
2024-01-06,S1,C,89,12.0,1068.0
2024-01-06,S2,A,48,20.0,960.0
2024-01-06,S2,B,26,35.0,910.0
2024-01-06,S2,C,91,12.0,1092.0
2024-01-06,S3,A,42,20.0,840.0
2024-01-06,S3,B,18,35.0,630.0
2024-01-06,S3,C,89,12.0,1068.0
2024-01-06,S4,A,54,20.0,1080.0
2024-01-06,S4,B,32,35.0,1120.0
2024-01-06,S4,C,82,12.0,984.0
2024-01-06,S5,A,48,20.0,960.0
2024-01-06,S5,B,28,35.0,980.0
2024-01-06,S5,C,90,12.0,1080.0
2024-01-07,S1,A,39,20.0,780.0
2024-01-07,S1,B,18,35.0,630.0
2024-01-07,S1,C,78,12.0,936.0
2024-01-07,S2,A,44,20.0,880.0
2024-01-07,S2,B,22,35.0,770.0
2024-01-07,S2,C,73,12.0,876.0
2024-01-07,S3,A,33,20.0,660.0
2024-01-07,S3,B,17,35.0,595.0
2024-01-07,S3,C,84,12.0,1008.0
2024-01-07,S4,A,40,20.0,800.0
2024-01-07,S4,B,19,35.0,665.0
2024-01-07,S4,C,70,12.0,840.0
2024-01-07,S5,A,31,20.0,620.0
2024-01-07,S5,B,25,35.0,875.0
2024-01-07,S5,C,59,12.0,708.0
2024-01-08,S1,A,29,20.0,580.0
2024-01-08,S1,B,15,35.0,525.0
2024-01-08,S1,C,78,12.0,936.0
2024-01-08,S2,A,34,20.0,680.0
2024-01-08,S2,B,22,35.0,770.0
2024-01-08,S2,C,64,12.0,768.0
2024-01-08,S3,A,35,20.0,700.0
2024-01-08,S3,B,23,35.0,805.0
2024-01-08,S3,C,50,12.0,600.0
2024-01-08,S4,A,42,20.0,840.0
2024-01-08,S4,B,17,35.0,595.0
2024-01-08,S4,C,55,12.0,660.0
2024-01-08,S5,A,43,20.0,860.0
2024-01-08,S5,B,25,35.0,875.0
2024-01-08,S5,C,69,12.0,828.0
2024-01-09,S1,A,39,20.0,780.0
2024-01-09,S1,B,22,35.0,770.0
2024-01-09,S1,C,57,12.0,684.0
2024-01-09,S2,A,35,20.0,700.0
2024-01-09,S2,B,19,35.0,665.0
2024-01-09,S2,C,57,12.0,684.0
2024-01-09,S3,A,44,20.0,880.0
2024-01-09,S3,B,13,35.0,455.0
2024-01-09,S3,C,65,12.0,780.0
2024-01-09,S4,A,44,20.0,880.0
2024-01-09,S4,B,13,35.0,455.0
2024-01-09,S4,C,61,12.0,732.0
2024-01-09,S5,A,39,20.0,780.0
2024-01-09,S5,B,26,35.0,910.0
2024-01-09,S5,C,66,12.0,792.0
2024-01-10,S1,A,35,20.0,700.0
2024-01-10,S1,B,17,35.0,595.0
2024-01-10,S1,C,67,12.0,804.0
2024-01-10,S2,A,30,20.0,600.0
2024-01-10,S2,B,15,35.0,525.0
2024-01-10,S2,C,51,12.0,612.0
2024-01-10,S3,A,43,20.0,860.0
2024-01-10,S3,B,15,35.0,525.0
2024-01-10,S3,C,56,12.0,672.0
2024-01-10,S4,A,31,20.0,620.0
2024-01-10,S4,B,21,35.0,735.0
2024-01-10,S4,C,59,12.0,708.0
2024-01-10,S5,A,43,20.0,860.0
2024-01-10,S5,B,14,35.0,490.0
2024-01-10,S5,C,54,12.0,648.0
2024-01-11,S1,A,40,20.0,800.0
2024-01-11,S1,B,23,35.0,805.0
